Software,million lines of code,,detail,,,,notes,source,link,source 2
Android,12.00,,operating system,,,," including 3 million lines of XML, 2.8 million lines of C, 2.1 million lines of Java, and 1.75 million lines of C++",XDA Developers Forum,http://forum.xda-developers.com/wiki/Android,
Mozilla Core,12.50,,code libraries used by all Mozilla apps like Firefox,,,,12528368,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
MySQL,12.50,,database format,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Linux kernel 2.6.32,12.60,,operating system,,,,,H Online,http://www.h-online.com/open/features/What-s-new-in-Linux-2-6-32-872271.html,
Linux kernel 2.6.35,13.50,,operating system,,,,,The Linux Foundation,http://go.linuxfoundation.org/who-writes-linux-2012,
"Boeing 787, total flight software",14.00,,,,,,Total flight software,NYC Aviator,http://www.nycaviation.com/2011/09/fun-facts-revealed-at-boeings-787-technical-panel/,
Linux kernel 3.6,15.90,,operating system,,,,,H Online,http://www.h-online.com/open/features/What-s-new-in-Linux-3-6-1714690.html?page=3,
Linux Kernel,16.20,,operating system,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Linux 3.1,17.00,,,,,,,CNET,http://news.cnet.com/8301-1035_3-57603216-94/linux-development-by-the-numbers-big-and-getting-bigger/,
Apache Open Office,23.00,,open source office productivity software,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
F-35 Fighter ,24,,,,,,NYT says 3.5m. Wired says 24 million (http://www.wired.com/dangerroom/2012/11/marines-jsf/),NYTImes,http://www.nytimes.com/2004/11/28/business/yourmoney/28lock.html?adxnnl=1&pagewanted=print&adxnnlx=1382805279-iJ9/V1NXb4+48FP0fFa2OA,
Microsoft Office (2001),25.00,,,,,,,CNET,http://news.cnet.com/Microsoft-to-release-Mac-OS-X-Office-in-fall/2100-1040_3-250792.html,
Windows 2000 (2000),29.00,,operating system,,,,or more,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
Mac Office in 2006,30.00,,office productivity software for use with Mac,,,,,MSDN Blog,http://blogs.msdn.com/b/macmojo/archive/2006/11/03/it-s-all-in-the-numbers.aspx,
Symbian,37.60,,mobile phone programming language,,,,,Ohloh,http://www.ohloh.net/p/mozilla/analyses/latest/languages_summary,
Windows 7,40.00,,operating system,,,,,Quora,http://www.quora.com/Windows-8/How-many-lines-of-code-is-in-Microsoft-Windows-8,
Windows XP,40.00,,operating system,,,,,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
MS Office,45.00,,office productivity software for use with Windows,30.00,60.00,,,PC Mag,"http://www.pcmag.com/article2/0,2817,2418117,00.asp",
Large Hadron Collider (ROOT software),50.00,,,,,,"LOC in ROOT, a software program used by CERN's physicists to store, analyze, and visualize petabytes of data about the LHC experiment",Coverity,http://www.coverity.com/company/press-releases/read/cern-chooses-coverity-to-ensure-accuracy-of-large-hadron-collider-software-html,
Windows Server 2003,50.00,,operating system,,,,,Knowing .net,http://www.knowing.net/index.php/2005/12/06/how-many-lines-of-code-in-windows/,
Windows Vista,50.00,,,,,,,NYTImes,http://www.nytimes.com/2006/03/27/technology/27soft.html?adxnnl=1&pagewanted=all&adxnnlx=1382805118-0jnNRGXEVPip3xoW+BDp8Q,
Debian 2.2,57.00,,operating system,55.00,59.00,,,Debain Counting,http://debian-counting.libresoft.es/,
Facebook (without backend code),62.00,,,,,,"note from the source: ""The new count includes the entire git repository: data, binaries, third-party and all. Thanks to Adam Hupp for pointing this out to me. The number is from running git ls-files""",Quora,http://www.quora.com/Facebook-Engineering/How-many-lines-of-code-is-Facebook,
US Army's Future Combat System,63.80,,,,,,,Wired,http://www.wired.com/dangerroom/2008/01/army-futures-so/,
Mac OS X 10.4,86.00,,operating system,,,,,Engadget,http://www.engadget.com/2006/08/07/live-from-wwdc-2006-steve-jobs-keynote/,
"Software in typical new car, 2013",100.00,,,,,,,Wired,http://www.wired.com/autopia/2012/12/automotive-os-war/,
Debian 3.0,104.00,,operating system,,,,Debain is an operating system which is composed of free software,Debain Counting,http://debian-counting.libresoft.es/,
Debian 3.1,215.00,,operating system,,,,Debain is an operating system which is composed of free software,Debain Counting,http://debian-counting.libresoft.es/,
Debian 4.0,283.00,,operating system,,,,Debain is an operating system which is composed of free software,Debain Counting,http://debian-counting.libresoft.es/,
Debian 5.0,324.00,,operating system,,,,Debain is an operating system which is composed of free software,Debain Counting,http://debian-counting.libresoft.es/,
Python,326.00,,programming language,,,,"326,051,275",Ohloh,http://www.ohloh.net/languages/python,
Healthcare.gov,500.00,,,,,,,NY  Times,http://www.nytimes.com/2013/10/21/us/insurance-site-seen-needing-weeks-to-fix.html?pagewanted=all&_r=0,
PHP,"1,023.00",,programming language,,,,"1,023,902,977",Ohloh,http://www.ohloh.net/languages/php,
Apple iOS different versions,-,,mobile operating system,,,,,,,
Windows 8,-,,operating system,,,,,,,
Google,"2,000.00",,website,,,,,Wired,http://www.wired.com/2015/09/google-2-billion-lines-codeand-one-place/,
